emp_no,first_name,last_name,title,from_date,to_date,dept_name
10404,Prodip,Rosti,Engineer,8/28/1988,8/28/1996,Development
10426,Arunas,Luce,Technique Leader,7/6/1985,1/1/9999,Development
10429,Martien,Improta,Senior Engineer,9/23/1988,1/1/9999,Development
10432,Hisao,Tiemann,Senior Staff,8/12/1996,1/1/9999,Customer Service
10451,Bodh,Ranta,Assistant Engineer,3/12/1988,3/12/1993,Production
10453,Tsvetan,Matzel,Senior Staff,4/2/1993,1/1/9999,Customer Service
10463,Ung,Zaiane,Staff,2/17/1994,1/1/9999,Sales
10486,Amstein,Kossowski,Engineer,10/8/1987,10/7/1996,Quality Management
10494,Yakkov,Servieres,Engineer,12/18/1991,12/17/2000,Production
10504,Xiong,Varker,Staff,10/19/1999,1/1/9999,Sales
10512,Udi,Gihr,Senior Staff,11/28/1998,1/1/9999,Human Resources
10522,Marke,Cesareni,Senior Staff,12/12/1995,1/1/9999,Human Resources
10548,Ramalingam,Gunderson,Senior Staff,7/4/1993,1/1/9999,Sales
10564,Jianhao,Thisen,Engineer,11/23/1995,11/22/2000,Production
10623,Aleksander,Danlos,Engineer,1/15/1992,1/15/1999,Research
10628,Krisda,Krogh,Assistant Engineer,3/14/1987,3/14/1994,Development
10631,Inderjeet,Chaudhuri,Engineer,10/18/1994,1/1/9999,Development
10642,Hirochika,Narlikar,Engineer,10/5/1998,1/1/9999,Development
10653,Otmar,Feinberg,Senior Engineer,4/30/1987,1/1/9999,Development
10671,Parviz,Rebaine,Senior Staff,9/13/2001,1/1/9999,Human Resources
10676,Valeri,Danley,Engineer,9/4/1999,1/1/9999,Development
10693,Berhard,Daescu,Senior Staff,1/8/1991,1/1/9999,Customer Service
10702,Bader,Szemeredi,Senior Engineer,1/14/1991,1/1/9999,Development
10718,Adib,Rullman,Engineer,7/21/1988,7/21/1997,Development
10726,Zita,Minakawa,Engineer,2/25/1992,2/24/2001,Development
10734,Sachar,Erdi,Engineer,12/19/1995,1/1/9999,Production
10745,Poorav,Ranze,Engineer,1/23/1988,1/22/1997,Production
10749,King,Brendel,Engineer,9/26/1985,9/26/1990,Production
10767,Monique,Doering,Staff,7/15/1997,1/1/9999,Sales
10768,Ishfaq,Candan,Engineer,7/4/1985,7/4/1990,Production
10778,Selwyn,Merey,Senior Staff,7/4/1986,1/1/9999,Marketing
10791,Tadahiko,Sgarro,Engineer,7/30/1988,7/31/1995,Development
10795,Supot,Naudin,Senior Staff,5/3/1999,1/1/9999,Sales
10808,Chenxi,Leijenhorst,Senior Engineer,3/7/1987,1/1/9999,Development
10835,Tomoyuki,Kermarrec,Engineer,8/22/1995,1/1/9999,Production
10836,Jianhua,Leivant,Senior Staff,8/10/1987,1/1/9999,Customer Service
10844,Dipayan,Koprowski,Engineer,4/25/1997,1/1/9999,Development
10847,Theirry,Danley,Senior Staff,7/24/1992,1/1/9999,Research
10848,Fen,Bratsberg,Engineer,4/20/1985,4/20/1992,Production
10878,Lakshmi,Deville,Staff,4/25/1997,1/1/9999,Sales
10879,Muzhong,Chleq,Senior Engineer,8/15/1985,1/1/9999,Development
10883,Shimshon,Champarnaud,Engineer,12/28/1996,1/1/9999,Production
10909,Georgi,Atchley,Engineer,12/26/1993,12/26/2000,Development
10921,Mara,Bahi,Engineer,7/27/1986,7/27/1995,Production
10924,Hironoby,Atchley,Senior Staff,8/14/1997,1/1/9999,Sales
10927,Gal,Scallan,Senior Staff,9/12/1993,1/1/9999,Marketing
10936,Mountaz,Schicker,Senior Staff,5/8/1996,1/1/9999,Human Resources
10943,Berna,Skafidas,Engineer,5/22/1993,5/22/1999,Development
10965,Eckart,Braunschweig,Senior Staff,7/29/1986,1/1/9999,Sales
10969,Premal,Noriega,Senior Engineer,5/12/1994,1/1/9999,Development
10974,Muneo,Papsdorf,Senior Engineer,5/17/1999,1/1/9999,Development
10986,Masako,Schiper,Technique Leader,10/11/1985,1/1/9999,Development
10988,Chinya,Deyuan,Senior Engineer,6/19/1985,1/1/9999,Development
10989,Sumali,Candan,Senior Staff,7/20/1991,1/1/9999,Finance
10990,Shin,Foote,Technique Leader,8/6/1990,1/1/9999,Development
11009,Alper,Axelband,Senior Staff,9/9/1993,1/1/9999,Sales
11012,Taegyun,Speckmann,Staff,7/6/1996,1/1/9999,Customer Service
11019,Leon,Huttel,Engineer,5/24/1992,5/24/1997,Development
11021,Srinidhi,Henders,Staff,2/2/1998,1/1/9999,Research
11027,Remzi,Cappello,Assistant Engineer,5/7/1986,5/7/1991,Production
11031,Ottavia,Walstra,Senior Staff,10/24/1993,1/1/9999,Marketing
11037,Lansing,Maliniak,Engineer,1/28/1988,1/28/1995,Production
11038,Jinya,Beidas,Senior Staff,7/15/1992,1/1/9999,Research
11042,Gou,Breugel,Engineer,6/21/1993,6/21/2000,Development
11048,Jaques,Demke,Senior Staff,5/27/1999,1/1/9999,Sales
11050,Elvis,Katiyar,Senior Staff,5/6/1991,1/1/9999,Marketing
11051,Przemyslawa,Erol,Engineer,3/27/1991,3/26/2000,Production
11070,Adib,Raney,Engineer,7/24/1985,7/24/1991,Quality Management
11081,Barry,Boyle,Senior Staff,6/17/1994,1/1/9999,Finance
11085,Hailing,Thummel,Senior Engineer,2/10/1996,1/1/9999,Production
11100,Berna,Cochrane,Senior Staff,10/13/1993,1/1/9999,Research
11106,Aris,Iwayama,Assistant Engineer,8/31/1985,8/31/1991,Development
11112,Boaz,Mukaidono,Staff,4/28/1995,1/1/9999,Customer Service
11113,Shahab,Peng,Senior Staff,11/30/1991,1/1/9999,Marketing
11121,Vugranam,Kakkad,Engineer,10/31/1992,11/1/1999,Development
11133,Nalini,Azulay,Technique Leader,3/6/1994,1/1/9999,Quality Management
11134,Sachar,Rajcani,Engineer,5/19/1993,5/19/2002,Quality Management
11137,Hugh,Luca,Engineer,3/16/1995,1/1/9999,Development
11139,Bogdan,Homond,Senior Staff,5/11/1995,1/1/9999,Customer Service
11146,Ishfaq,Masand,Senior Staff,8/21/1997,1/1/9999,Sales
11148,Zhanqiu,Botman,Senior Staff,2/8/1997,1/1/9999,Human Resources
11162,Kauko,Narlikar,Engineer,3/28/1985,3/28/1990,Development
11180,Mitsuyuki,Bojadziev,Engineer,6/11/1986,6/10/1992,Development
11197,Tadahiro,Fordan,Senior Staff,9/12/1989,1/1/9999,Sales
11204,Diederik,Covnot,Technique Leader,9/18/1985,1/1/9999,Production
11207,Saeed,Gips,Engineer,1/31/1999,1/1/9999,Development
11208,Saniya,Valtorta,Technique Leader,11/17/1994,1/1/9999,Production
11211,Yurij,Rissland,Senior Engineer,9/17/1985,1/1/9999,Production
11217,Kellie,Mawatari,Senior Engineer,3/11/1990,1/1/9999,Production
11232,Hidefumi,Crelier,Senior Staff,8/1/2000,1/1/9999,Customer Service
11240,Kiam,Condotta,Assistant Engineer,1/6/1989,1/6/1997,Development
11249,Randi,Cyre,Assistant Engineer,9/22/1986,9/22/1994,Development
11251,Bezalel,Chinal,Senior Staff,6/15/1993,1/1/9999,Marketing
11268,Aimee,Petersohn,Engineer,10/25/1987,10/25/1995,Production
11275,Hitomi,Eppinger,Engineer,4/25/1989,4/25/1998,Development
11290,Visit,Dredge,Engineer,5/13/1999,1/1/9999,Development
11295,Abdelkader,Lanzelotte,Senior Staff,5/15/1990,1/1/9999,Finance
11319,Pranas,Marrakchi,Assistant Engineer,11/1/1998,1/1/9999,Development
11320,Atilio,McAlpine,Senior Staff,4/6/1998,1/1/9999,Marketing
11322,Nathalie,Pocchiola,Assistant Engineer,7/7/1985,7/7/1992,Quality Management
11324,Kauko,Billingsley,Senior Engineer,8/29/1985,1/1/9999,Production
11338,Kwangsub,Hanratty,Senior Staff,10/28/1998,1/1/9999,Sales
11339,Flemming,Massonet,Senior Engineer,12/19/1989,1/1/9999,Production
11347,Anneli,Jonsson,Engineer,4/20/1986,4/19/1992,Development
11365,Toshimi,Shinomoto,Engineer,12/18/1997,1/1/9999,Production
11376,Valery,Suomi,Senior Staff,3/14/1994,1/1/9999,Research
11380,Kenroku,Pelc,Assistant Engineer,4/19/1991,4/18/1996,Development
11385,Shiv,Ullian,Engineer,8/8/1999,1/1/9999,Production
11386,Alselm,Assaf,Engineer,11/30/1987,11/29/1993,Quality Management
11393,Junsik,Junot,Engineer,4/30/1985,4/30/1992,Production
11398,Oscar,Peir,Senior Staff,9/7/2001,1/1/9999,Finance
11404,Bedrich,Borovoy,Technique Leader,9/25/1990,1/1/9999,Development
11415,Sanjiv,Anido,Engineer,12/7/1996,1/1/9999,Production
11421,Josyula,Msuda,Engineer,9/2/1986,9/2/1995,Production
11441,Marlo,Aingworth,Senior Staff,3/27/1987,1/1/9999,Sales
11449,Kotesh,Asser,Engineer,2/3/1995,2/3/2000,Production
11459,Duke,Suomi,Senior Staff,5/2/1992,1/1/9999,Human Resources
11469,Guttorm,Giaccio,Engineer,9/8/1994,9/8/1999,Production
11506,Rance,Picel,Staff,4/8/1996,1/1/9999,Sales
11509,Aleksander,Feldhoffer,Engineer,11/12/1987,11/11/1992,Development
11513,Otmar,Mahnke,Senior Staff,8/25/1998,1/1/9999,Finance
11515,Ulf,Basawa,Staff,9/21/1998,1/1/9999,Sales
11518,Jinxi,Oxman,Senior Staff,9/22/1999,1/1/9999,Human Resources
11524,Xiadong,Standera,Senior Engineer,7/5/1996,1/1/9999,Development
11527,Alagu,Boyle,Staff,1/28/1999,1/1/9999,Marketing
11528,Zito,Dolinsky,Technique Leader,6/15/1987,1/1/9999,Production
11537,DAIDA,Pehl,Senior Staff,7/6/1986,1/1/9999,Sales
11554,Subhash,Taubenfeld,Staff,7/15/1998,1/1/9999,Human Resources
11555,Kotesh,Perfilyeva,Senior Staff,10/14/1991,1/1/9999,Human Resources
11567,Teiji,Mitzlaff,Senior Staff,2/3/1996,1/1/9999,Sales
11568,Martins,Fujisaki,Engineer,3/13/1992,3/13/2000,Development
11603,Herb,Swen,Senior Staff,4/13/1994,1/1/9999,Finance
11607,Tomokazu,Foong,Engineer,4/19/1995,1/1/9999,Production
11615,Shem,Isaak,Senior Staff,8/28/2000,1/1/9999,Sales
11624,Adil,Gammage,Engineer,7/15/1989,7/15/1996,Production
11628,Fan,Malinowski,Engineer,10/23/1988,10/23/1997,Research
11640,Valeri,Coorg,Senior Engineer,9/26/1988,1/1/9999,Development
11647,Magy,Nitsche,Engineer,5/11/1988,5/11/1993,Development
11660,Gill,Stenning,Senior Staff,11/22/1994,1/1/9999,Sales
11673,Henk,Felder,Technique Leader,6/10/1989,1/1/9999,Production
11676,Valeri,Ferriere,Engineer,7/15/1998,1/1/9999,Production
11681,Fumitake,Benzmuller,Engineer,8/27/1988,8/28/1995,Production
11684,Oksana,Gide,Senior Staff,2/21/1995,1/1/9999,Marketing
11696,Dante,Rothe,Senior Staff,10/23/1994,1/1/9999,Sales
11732,Sanjoy,Ranft,Senior Engineer,12/22/1996,1/1/9999,Customer Service
11735,Amalendu,Picci,Senior Staff,7/14/1997,1/1/9999,Customer Service
11746,Koichi,Marrakchi,Senior Staff,11/18/1995,1/1/9999,Sales
11751,Jiafu,Emiris,Senior Staff,11/3/1993,1/1/9999,Research
11764,Sanjay,Anick,Engineer,12/16/1991,12/15/1996,Production
11769,Chandrasekaran,Lampe,Senior Staff,10/22/2001,1/1/9999,Research
11772,Gaurav,Penz,Engineer,11/7/1999,1/1/9999,Development
11797,Chenxi,Thambidurai,Senior Staff,8/30/1996,1/1/9999,Sales
11810,Amabile,Bhattacharjee,Senior Engineer,1/5/1992,1/1/9999,Development
11817,Niranjan,Markovitch,Senior Staff,4/12/1993,1/1/9999,Sales
11832,Arto,Zlotek,Engineer,2/4/1996,1/1/9999,Development
11844,Shawna,Demeyer,Engineer,1/27/1988,1/27/1995,Development
11853,Zeljko,Kusakabe,Senior Staff,11/17/1996,1/1/9999,Marketing
11857,Divier,Farrag,Senior Staff,8/27/1986,1/1/9999,Sales
11864,Pradeep,Kriebel,Staff,11/2/1995,1/1/9999,Customer Service
11871,Nalini,Sommen,Engineer,10/13/1993,10/13/1998,Development
11872,Cheong,Riexinger,Senior Staff,2/12/2002,1/1/9999,Marketing
11894,Mitchel,Validov,Senior Engineer,6/22/1988,1/1/9999,Development
11897,Cordelia,Setlzner,Senior Staff,6/16/1997,1/1/9999,Sales
11906,Hideo,Boguraev,Engineer,2/7/1999,1/1/9999,Development
11915,Miomir,Mawatari,Engineer,6/28/1992,6/28/2001,Production
11931,Gunilla,Chiodo,Senior Staff,1/13/2000,1/1/9999,Research
11933,Basil,Erman,Engineer,6/13/1987,6/12/1992,Development
11949,Martijn,Harbusch,Technique Leader,3/11/1985,1/1/9999,Production
11983,Jaana,Hedayat,Engineer,10/11/1986,10/11/1994,Development
11993,Marit,Dalphin,Senior Staff,10/22/1996,1/1/9999,Human Resources
12011,Zhilian,Coorg,Senior Staff,7/22/1997,1/1/9999,Sales
12036,Mads,Ratzlaff,Senior Staff,9/5/1995,1/1/9999,Sales
12037,Arunas,Katzenelson,Senior Staff,9/30/1992,1/1/9999,Customer Service
12050,Yuchang,Tchuente,Assistant Engineer,4/1/1989,4/1/1996,Production
12062,Margareta,Worfolk,Senior Staff,1/4/1996,1/1/9999,Human Resources
12069,Ayonca,Burnard,Assistant Engineer,5/13/1985,5/13/1990,Development
12070,Ger,Shokrollahi,Technique Leader,11/14/1988,1/1/9999,Development
12076,Karlis,Siprelle,Senior Staff,3/25/1985,1/1/9999,Sales
12082,Xinan,Yamaashi,Senior Staff,1/29/1992,1/1/9999,Sales
12089,Bilhanan,Socorro,Senior Staff,10/22/1994,1/1/9999,Human Resources
12099,Nobuyoshi,Kuzuoka,Senior Staff,2/15/1999,1/1/9999,Sales
12112,Satyanarayana,Avouris,Senior Staff,9/26/1997,1/1/9999,Finance
12122,Satoru,Krone,Engineer,7/24/1987,7/23/1992,Production
12123,Xiahua,Syrzycki,Senior Staff,7/18/1994,1/1/9999,Research
12125,Shounak,Erman,Engineer,3/31/1997,1/1/9999,Development
12149,Suebskul,Grandbois,Senior Staff,10/1/1988,1/1/9999,Sales
12159,Shem,Perly,Senior Engineer,7/17/1985,1/1/9999,Development
12165,Xiaobin,Maquelin,Senior Engineer,8/29/1994,1/1/9999,Development
12183,Harngdar,Iisaku,Engineer,4/4/1998,1/1/9999,Quality Management
12192,Feiyu,Klyachko,Engineer,9/2/1986,9/2/1991,Quality Management
12205,Sushant,Rossi,Senior Engineer,11/11/1987,1/1/9999,Development
12206,Barton,Janetzko,Assistant Engineer,3/27/1985,3/27/1993,Development
12218,Yaghout,Strooper,Engineer,3/12/1991,3/11/2000,Quality Management
12221,Vincent,Melter,Engineer,9/16/1985,9/16/1991,Development
12222,Abdelwaheb,Holburn,Senior Staff,8/14/1996,1/1/9999,Finance
12223,Niteen,Koyama,Engineer,8/13/1986,8/13/1995,Production
12247,Subbu,Penttonen,Technique Leader,4/9/1985,1/1/9999,Development
12249,Eldridge,Sadowski,Engineer,6/21/1987,6/20/1996,Development
12256,Guadalupe,Reghbati,Senior Staff,8/26/1992,1/1/9999,Human Resources
12264,Mart,Pagter,Engineer,1/9/1998,1/1/9999,Development
12270,Shakhar,Kornyak,Senior Staff,8/19/1996,1/1/9999,Research
12272,Behnaam,Grandbois,Senior Staff,12/7/1992,1/1/9999,Human Resources
12308,Mototsugu,Cronau,Senior Staff,8/11/1991,1/1/9999,Human Resources
12311,Susanne,Lubachevsky,Senior Engineer,10/22/1985,1/1/9999,Development
12327,DAIDA,Bruckman,Engineer,10/16/1986,10/15/1992,Development
12341,Rasiah,Luga,Engineer,5/25/1985,5/25/1990,Development
12343,Sorina,Slaats,Senior Staff,8/25/1997,1/1/9999,Customer Service
12365,Kamakshi,Bisiani,Engineer,9/12/1988,9/12/1994,Production
12373,Mooi,Driscoll,Senior Staff,11/11/1993,1/1/9999,Sales
12395,Sanjit,Felder,Senior Staff,6/5/1995,1/1/9999,Finance
12399,Mihalis,Luga,Senior Staff,12/6/1996,1/1/9999,Sales
12411,Shao,Ibel,Senior Staff,8/17/1991,1/1/9999,Sales
12413,Hugh,Gadepally,Engineer,3/4/1994,3/4/1999,Production
12417,Dannz,Spelt,Senior Engineer,2/2/1998,1/1/9999,Production
12422,Berhard,Demos,Senior Staff,6/7/2001,1/1/9999,Human Resources
12454,Kerryn,Farris,Staff,12/18/1998,1/1/9999,Sales
12464,Shai,Milicic,Staff,6/1/1998,1/1/9999,Sales
12475,Filipe,Roison,Engineer,4/26/1987,4/25/1996,Development
12487,Mona,Reghbati,Senior Staff,12/7/1998,1/1/9999,Human Resources
12489,Arnould,Munck,Senior Engineer,4/11/1986,1/1/9999,Development
12490,Jackson,Muchinsky,Engineer,5/9/1994,5/8/2000,Development
12497,Stein,Penz,Senior Staff,9/25/1997,1/1/9999,Sales
12501,Morrie,Matheson,Senior Staff,6/5/1986,1/1/9999,Finance
12504,Adly,Rosaz,Engineer,8/14/1997,1/1/9999,Production
12514,Tomofumi,Melter,Engineer,11/13/1999,1/1/9999,Development
12528,Conor,Cincotta,Senior Staff,9/24/1997,1/1/9999,Customer Service
12534,Yongmao,Gerlach,Senior Engineer,8/14/1985,1/1/9999,Production
12541,Shih,Nanard,Senior Staff,8/31/1996,1/1/9999,Sales
12542,Kazuhide,Bouloucos,Senior Staff,9/11/1993,1/1/9999,Human Resources
12551,Jeane,Tzvieli,Engineer,12/4/1987,12/3/1993,Production
12553,Aral,Vesna,Senior Staff,2/28/1987,1/1/9999,Human Resources
12557,Stafford,Kopetz,Senior Engineer,3/20/1988,1/1/9999,Quality Management
12589,Anoosh,Chleq,Engineer,9/8/1988,9/8/1997,Development
12596,Breannda,Roisin,Senior Staff,9/29/1996,1/1/9999,Human Resources
12601,Ghassan,Simkin,Assistant Engineer,7/9/1992,7/9/1997,Development
12608,Nectarios,Mondadori,Senior Staff,2/22/2000,1/1/9999,Human Resources
12635,Xinyu,Restivo,Engineer,2/3/1995,2/3/2000,Customer Service
12638,Yuqun,Seiwald,Engineer,4/29/1999,1/1/9999,Development
12642,Suebskul,Gips,Senior Staff,10/28/2001,1/1/9999,Marketing
12651,Pragnesh,Bael,Senior Staff,1/27/1988,1/1/9999,Sales
12662,Leucio,Alvarado,Assistant Engineer,8/27/1985,8/27/1994,Development
12663,Nobuyoshi,Stellhorn,Technique Leader,9/29/1986,1/1/9999,Development
12664,Zhonghua,Parveen,Staff,8/4/1999,1/1/9999,Customer Service
12689,Luerbio,Boudaillier,Engineer,11/23/1992,11/23/2001,Development
12691,Oddvar,Gils,Engineer,8/25/1992,8/25/1998,Production
12697,Uri,Brizzi,Senior Staff,7/11/1994,1/1/9999,Human Resources
12709,Ronghao,Botman,Engineer,2/26/1995,2/25/2001,Development
12717,Tzu,Jiafu,Staff,10/20/1999,1/1/9999,Research
12722,Elliott,Cheshire,Senior Staff,3/29/1985,1/1/9999,Finance
12726,Fumitake,Panwar,Senior Engineer,5/19/1994,1/1/9999,Development
12729,Nahla,Rahier,Engineer,10/15/1992,10/15/1997,Customer Service
12731,Yongmao,Waymire,Senior Staff,4/5/1988,1/1/9999,Human Resources
12732,Mara,Takanami,Senior Staff,4/6/1988,1/1/9999,Sales
12734,Gil,Frijda,Senior Engineer,3/3/1986,1/1/9999,Development
12755,Rildo,Rodite,Senior Staff,3/18/1994,1/1/9999,Human Resources
12773,Jenwei,Lovengreen,Engineer,3/5/1985,3/5/1994,Development
12790,Gunilla,Perl,Senior Staff,8/7/2000,1/1/9999,Sales
12795,Masoud,Fordan,Senior Staff,6/23/1997,1/1/9999,Finance
12798,Lillian,Beeson,Senior Staff,12/26/1996,1/1/9999,Sales
12803,Gad,Boissier,Senior Staff,3/16/1990,1/1/9999,Sales
12815,Sushant,Junot,Senior Staff,2/27/1993,1/1/9999,Research
12819,Mountaz,Gubsky,Engineer,9/9/1989,9/9/1996,Production
12848,Kazuhide,Smeets,Engineer,5/11/1997,1/1/9999,Development
12863,Leif,Matheson,Engineer,9/6/1985,9/6/1990,Production
12872,Marl,Schmittgen,Senior Staff,9/9/1993,1/1/9999,Sales
12879,Baruch,Eugenio,Engineer,6/11/1990,6/11/1995,Development
12890,Neven,Casley,Senior Staff,10/31/1985,1/1/9999,Sales
12893,Licheng,Crouzet,Senior Staff,3/18/1995,1/1/9999,Sales
12895,Roddy,Serot,Senior Engineer,8/15/1993,1/1/9999,Production
12905,Munehiro,Gecsei,Engineer,7/19/1987,7/18/1993,Development
12926,Heekeun,Luby,Senior Staff,12/24/1992,1/1/9999,Research
12940,Odinaldo,Farrar,Engineer,12/12/1987,12/11/1992,Development
12941,Tommaso,Perelgut,Engineer,11/6/1986,11/6/1995,Development
12949,Geoff,Asrin,Engineer,2/12/1987,2/12/1992,Development
12977,Byong,Markovitch,Engineer,8/24/1987,8/23/1992,Development
12983,Elliott,Hambrick,Staff,6/28/1999,1/1/9999,Finance
13030,Yahiko,Kroll,Senior Staff,11/25/1999,1/1/9999,Marketing
13046,Vivian,Stafford,Senior Staff,4/19/1987,1/1/9999,Finance
13047,Atilio,Chelton,Engineer,2/26/1992,2/25/1997,Development
13075,Rosella,Morrin,Senior Staff,8/17/1991,1/1/9999,Sales
13076,Deniz,Skafidas,Engineer,1/28/1995,1/1/9999,Development
13096,Ibibia,Armand,Engineer,4/22/1994,4/22/2001,Quality Management
13103,Srinidhi,Ellozy,Senior Engineer,6/19/1988,1/1/9999,Development
13124,Quingbo,Garnick,Senior Staff,3/17/1985,1/1/9999,Sales
13133,Guther,Senzako,Senior Staff,9/3/1991,1/1/9999,Customer Service
13134,Lorien,Chepyzhov,Engineer,10/23/1987,10/22/1993,Production
13144,Persi,Nollmann,Senior Staff,6/19/1997,1/1/9999,Finance
13146,Haldon,Erie,Senior Staff,5/25/1985,1/1/9999,Sales
13147,Shichao,Ginesta,Senior Staff,6/29/1998,1/1/9999,Sales
13156,Akeel,Millington,Engineer,8/18/1992,8/18/2000,Development
13165,Lucian,Benner,Engineer,3/16/1988,3/17/1995,Quality Management
13168,Munir,Stentiford,Engineer,9/11/1987,9/10/1992,Production
13170,Cheong,Bernardeschi,Senior Staff,1/9/1998,1/1/9999,Human Resources
13171,Anoosh,Birnbaum,Engineer,8/31/1987,8/31/1995,Quality Management
13173,Arve,Horswill,Senior Staff,9/23/1996,1/1/9999,Sales
13179,Moty,Janocha,Staff,2/19/1999,1/1/9999,Sales
13182,Kokou,Rodite,Engineer,3/3/1999,1/1/9999,Production
13186,Kyoichi,Barbanera,Senior Staff,4/29/1995,1/1/9999,Sales
13192,Rosita,Flowers,Technique Leader,2/1/1993,1/1/9999,Development
13202,Aram,Scharstein,Senior Staff,3/28/1992,1/1/9999,Research
13210,Jianhua,Klassen,Senior Staff,7/27/2002,1/1/9999,Sales
13213,Hein,Billawala,Senior Staff,8/30/1993,1/1/9999,Sales
13232,Mitchel,Fujisaki,Technique Leader,6/2/1986,1/1/9999,Development
13233,Alselm,Chvatal,Engineer,3/31/1987,3/31/1995,Development
13238,Ebru,Foote,Senior Staff,10/10/1998,1/1/9999,Sales
13240,King,Pileggi,Engineer,3/10/1994,3/10/2001,Development
13250,Zeydy,Schusler,Assistant Engineer,10/28/1988,10/28/1993,Production
13272,Arun,Jiang,Senior Staff,3/10/1985,1/1/9999,Customer Service
13276,Yechiam,Seuren,Senior Staff,3/9/1991,1/1/9999,Finance
13288,Muneo,Broomell,Senior Staff,4/14/1995,1/1/9999,Human Resources
13291,Georg,Stamatiou,Engineer,10/30/1986,10/30/1993,Development
13302,Mack,Alencar,Engineer,9/26/1990,9/26/1997,Development
13315,Sakthirel,Stroustrup,Engineer,6/2/1991,6/2/1999,Development
13332,Nidapan,Pearson,Assistant Engineer,9/24/1987,9/23/1992,Production
13333,Yoshinari,Hennebert,Assistant Engineer,3/23/1988,3/23/1996,Development
13341,Bodh,Doering,Senior Staff,3/10/1992,1/1/9999,Marketing
13343,Heon,Usery,Senior Staff,7/30/1995,1/1/9999,Human Resources
13368,Kiyokazu,Klassen,Staff,9/30/1997,1/1/9999,Human Resources
13371,Nakhoon,Riexinger,Senior Engineer,12/13/1991,1/1/9999,Production
13373,Juichirou,Naumovich,Senior Staff,8/23/2000,1/1/9999,Human Resources
13385,Claudi,Buchter,Senior Staff,6/10/1986,1/1/9999,Human Resources
13386,Khosrow,Sgarro,Technique Leader,2/23/1986,1/1/9999,Development
13389,Divine,Cmelik,Senior Staff,3/23/1988,1/1/9999,Research
13392,Fumitake,Beidas,Senior Staff,8/26/1993,1/1/9999,Sales
13396,Chuanyi,Aumann,Senior Staff,3/29/1994,1/1/9999,Customer Service
